TITLE
Temperature Logger data export

DATE CREATED
2020-11-17T09:46:51

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

DATA BETWEEN DATES
FROM DATE,1997-10-22T00:00:00+1000
THRU DATE,2020-02-17T00:00:00+1000

AGGREGATION PERIOD
DAY

AGGREGATION FUNCTIONS
AVG

DATA LEVELS
LEVEL2

DEPLOYMENT INFORMATION
NAME,Moore Reef Water Temperature (degrees celsius)
PARAMETER,Water Temperature
UOM,degrees celsius
TIME ZONE,10.0
LAT DEPTH,2.0
MSL DEPTH,2.0
OWNER,"CRC Reef,Great Barrier Reef Marine Park Authority,Australian Institute of Marine Science (AIMS)"
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905135
FROM DATE DEPLOYMENT 1,1997-10-22T13:30:00
THRU DATE FOR DEPLOYMENT 1,1999-01-09T10:00:00
LATITUDE FOR DEPLOYMENT 1,-16.85191004
LONGITUDE FOR DEPLOYMENT 1,146.23358
DEPTH FOR DEPLOYMENT 1,2.0
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905209
FROM DATE DEPLOYMENT 2,1999-01-09T13:30:00
THRU DATE FOR DEPLOYMENT 2,1999-08-20T15:00:00
LATITUDE FOR DEPLOYMENT 2,-16.85191004
LONGITUDE FOR DEPLOYMENT 2,146.23358
DEPTH FOR DEPLOYMENT 2,2.0
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905217
FROM DATE DEPLOYMENT 3,2003-03-24T09:30:00
THRU DATE FOR DEPLOYMENT 3,2004-10-28T16:00:00
LATITUDE FOR DEPLOYMENT 3,-16.85191004
LONGITUDE FOR DEPLOYMENT 3,146.23358
DEPTH FOR DEPLOYMENT 3,2.0
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905300
FROM DATE DEPLOYMENT 4,2004-11-09T17:00:00
THRU DATE FOR DEPLOYMENT 4,2006-07-01T13:30:00
LATITUDE FOR DEPLOYMENT 4,-16.85191004
LONGITUDE FOR DEPLOYMENT 4,146.23358
DEPTH FOR DEPLOYMENT 4,2.0
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905214
FROM DATE DEPLOYMENT 5,1999-08-20T16:00:00
THRU DATE FOR DEPLOYMENT 5,2000-03-21T15:00:00
LATITUDE FOR DEPLOYMENT 5,-16.85191004
LONGITUDE FOR DEPLOYMENT 5,146.23358
DEPTH FOR DEPLOYMENT 5,2.0
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905235
FROM DATE DEPLOYMENT 6,2001-09-04T18:30:00
THRU DATE FOR DEPLOYMENT 6,2003-03-24T09:30:00
LATITUDE FOR DEPLOYMENT 6,-16.85191004
LONGITUDE FOR DEPLOYMENT 6,146.23358
DEPTH FOR DEPLOYMENT 6,2.0
INSTRUMENT,ReefNet - Sensus Ultra
SERIAL NUMBER,SU-07134
FROM DATE DEPLOYMENT 7,2009-11-30T03:58:53
THRU DATE FOR DEPLOYMENT 7,2011-04-21T00:00:00
LATITUDE FOR DEPLOYMENT 7,-16.85191004
LONGITUDE FOR DEPLOYMENT 7,146.23358
DEPTH FOR DEPLOYMENT 7,1.9
INSTRUMENT,Vemco Minilog-II-T
SERIAL NUMBER,357048
FROM DATE DEPLOYMENT 8,2017-12-19T00:00:00
THRU DATE FOR DEPLOYMENT 8,2020-02-17T00:00:00
LATITUDE FOR DEPLOYMENT 8,-16.85191004
LONGITUDE FOR DEPLOYMENT 8,146.23358
DEPTH FOR DEPLOYMENT 8,2.0
INSTRUMENT,Vemco Minilog-II-T
SERIAL NUMBER,356710
FROM DATE DEPLOYMENT 9,2015-12-09T00:00:00
THRU DATE FOR DEPLOYMENT 9,2017-12-18T00:00:00
LATITUDE FOR DEPLOYMENT 9,-16.85191004
LONGITUDE FOR DEPLOYMENT 9,146.23358
DEPTH FOR DEPLOYMENT 9,2.0



date time,date,time,seconds since 1970,Water Temperature @2.0m MORFL1 Reef Flat Site 1_LEVEL2_value_AVG
1997-10-23T00:00:00+1000,1997-10-23,00:00:00,8.775288E8,25.2598,
1997-10-24T00:00:00+1000,1997-10-24,00:00:00,8.776152E8,25.3085,
1997-10-25T00:00:00+1000,1997-10-25,00:00:00,8.777016E8,25.496,
1997-10-26T00:00:00+1000,1997-10-26,00:00:00,8.77788E8,25.5685,
1997-10-27T00:00:00+1000,1997-10-27,00:00:00,8.778744E8,25.5879,
1997-10-28T00:00:00+1000,1997-10-28,00:00:00,8.779608E8,25.6204,
1997-10-29T00:00:00+1000,1997-10-29,00:00:00,8.780472E8,25.7202,
1997-10-30T00:00:00+1000,1997-10-30,00:00:00,8.781336E8,25.7446,
1997-10-31T00:00:00+1000,1997-10-31,00:00:00,8.7822E8,25.7485,
1997-11-01T00:00:00+1000,1997-11-01,00:00:00,8.783064E8,25.6683,
1997-11-02T00:00:00+1000,1997-11-02,00:00:00,8.783928E8,25.5756,
1997-11-03T00:00:00+1000,1997-11-03,00:00:00,8.784792E8,25.5785,
1997-11-04T00:00:00+1000,1997-11-04,00:00:00,8.785656E8,25.8425,
1997-11-05T00:00:00+1000,1997-11-05,00:00:00,8.78652E8,25.7863,
1997-11-06T00:00:00+1000,1997-11-06,00:00:00,8.787384E8,26.1194,
1997-11-07T00:00:00+1000,1997-11-07,00:00:00,8.788248E8,26.384,
1997-11-08T00:00:00+1000,1997-11-08,00:00:00,8.789112E8,26.7313,
1997-11-09T00:00:00+1000,1997-11-09,00:00:00,8.789976E8,26.5575,
1997-11-10T00:00:00+1000,1997-11-10,00:00:00,8.79084E8,26.4156,
1997-11-11T00:00:00+1000,1997-11-11,00:00:00,8.791704E8,26.4267,
1997-11-12T00:00:00+1000,1997-11-12,00:00:00,8.792568E8,26.4706,
1997-11-13T00:00:00+1000,1997-11-13,00:00:00,8.793432E8,26.4785,
1997-11-14T00:00:00+1000,1997-11-14,00:00:00,8.794296E8,26.5763,
1997-11-15T00:00:00+1000,1997-11-15,00:00:00,8.79516E8,26.5648,
1997-11-16T00:00:00+1000,1997-11-16,00:00:00,8.796024E8,26.6863,
1997-11-17T00:00:00+1000,1997-11-17,00:00:00,8.796888E8,26.71,
1997-11-18T00:00:00+1000,1997-11-18,00:00:00,8.797752E8,26.7177,
1997-11-19T00:00:00+1000,1997-11-19,00:00:00,8.798616E8,26.6248,
1997-11-20T00:00:00+1000,1997-11-20,00:00:00,8.79948E8,26.6456,
1997-11-21T00:00:00+1000,1997-11-21,00:00:00,8.800344E8,26.8396,
1997-11-22T00:00:00+1000,1997-11-22,00:00:00,8.801208E8,26.7363,
1997-11-23T00:00:00+1000,1997-11-23,00:00:00,8.802072E8,26.7421,
1997-11-24T00:00:00+1000,1997-11-24,00:00:00,8.802936E8,26.774,
1997-11-25T00:00:00+1000,1997-11-25,00:00:00,8.8038E8,26.6238,
1997-11-26T00:00:00+1000,1997-11-26,00:00:00,8.804664E8,26.6958,
1997-11-27T00:00:00+1000,1997-11-27,00:00:00,8.805528E8,26.8071,
1997-11-28T00:00:00+1000,1997-11-28,00:00:00,8.806392E8,27.105,
