TITLE
Temperature Logger data export

DATE CREATED
2020-11-17T09:50:19

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

DATA BETWEEN DATES
FROM DATE,1997-10-22T00:00:00+1000
THRU DATE,2017-12-18T00:00:00+1000

AGGREGATION PERIOD
DAY

AGGREGATION FUNCTIONS
AVG

DATA LEVELS
LEVEL2

DEPLOYMENT INFORMATION
NAME,Moore Reef Water Temperature (degrees celsius)
PARAMETER,Water Temperature
UOM,degrees celsius
TIME ZONE,10.0
LAT DEPTH,9.0
MSL DEPTH,9.0
OWNER,"CRC Reef,Great Barrier Reef Marine Park Authority,Australian Institute of Marine Science (AIMS)"
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905108
FROM DATE DEPLOYMENT 1,1997-10-22T13:30:00
THRU DATE FOR DEPLOYMENT 1,1999-01-09T10:30:00
LATITUDE FOR DEPLOYMENT 1,-16.84766661
LONGITUDE FOR DEPLOYMENT 1,146.2358333
DEPTH FOR DEPLOYMENT 1,9.0
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905228
FROM DATE DEPLOYMENT 2,2003-03-24T09:30:00
THRU DATE FOR DEPLOYMENT 2,2004-10-28T16:00:00
LATITUDE FOR DEPLOYMENT 2,-16.84766661
LONGITUDE FOR DEPLOYMENT 2,146.2358333
DEPTH FOR DEPLOYMENT 2,9.0
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905221
FROM DATE DEPLOYMENT 3,1999-08-20T14:00:00
THRU DATE FOR DEPLOYMENT 3,2000-03-21T14:00:00
LATITUDE FOR DEPLOYMENT 3,-16.84766661
LONGITUDE FOR DEPLOYMENT 3,146.2358333
DEPTH FOR DEPLOYMENT 3,9.0
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-905247
FROM DATE DEPLOYMENT 4,2001-09-04T17:30:00
THRU DATE FOR DEPLOYMENT 4,2003-03-24T09:00:00
LATITUDE FOR DEPLOYMENT 4,-16.84766661
LONGITUDE FOR DEPLOYMENT 4,146.2358333
DEPTH FOR DEPLOYMENT 4,9.0
INSTRUMENT,Odyssey Temperature Logger
SERIAL NUMBER,SST-6326
FROM DATE DEPLOYMENT 5,2006-07-01T14:00:00
THRU DATE FOR DEPLOYMENT 5,2008-03-02T02:00:00
LATITUDE FOR DEPLOYMENT 5,-16.84766661
LONGITUDE FOR DEPLOYMENT 5,146.2358333
DEPTH FOR DEPLOYMENT 5,9.0
INSTRUMENT,ReefNet - Sensus Ultra
SERIAL NUMBER,SU-07146
FROM DATE DEPLOYMENT 6,2009-11-29T19:17:27
THRU DATE FOR DEPLOYMENT 6,2011-02-24T00:00:00
LATITUDE FOR DEPLOYMENT 6,-16.84766661
LONGITUDE FOR DEPLOYMENT 6,146.2358333
DEPTH FOR DEPLOYMENT 6,9.2
INSTRUMENT,Vemco Minilog-II-T
SERIAL NUMBER,356672
FROM DATE DEPLOYMENT 7,2015-12-08T00:00:00
THRU DATE FOR DEPLOYMENT 7,2017-12-18T00:00:00
LATITUDE FOR DEPLOYMENT 7,-16.84766661
LONGITUDE FOR DEPLOYMENT 7,146.2358333
DEPTH FOR DEPLOYMENT 7,9.0



date time,date,time,seconds since 1970,Water Temperature @9.0m MORSL1 Reef Slope Site 1_LEVEL2_value_AVG
1997-10-23T00:00:00+1000,1997-10-23,00:00:00,8.775288E8,25.2387,
1997-10-24T00:00:00+1000,1997-10-24,00:00:00,8.776152E8,25.1819,
1997-10-25T00:00:00+1000,1997-10-25,00:00:00,8.777016E8,25.2727,
1997-10-26T00:00:00+1000,1997-10-26,00:00:00,8.77788E8,25.4177,
1997-10-27T00:00:00+1000,1997-10-27,00:00:00,8.778744E8,25.544,
1997-10-28T00:00:00+1000,1997-10-28,00:00:00,8.779608E8,25.5348,
1997-10-29T00:00:00+1000,1997-10-29,00:00:00,8.780472E8,25.5319,
1997-10-30T00:00:00+1000,1997-10-30,00:00:00,8.781336E8,25.5404,
1997-10-31T00:00:00+1000,1997-10-31,00:00:00,8.7822E8,25.5977,
1997-11-01T00:00:00+1000,1997-11-01,00:00:00,8.783064E8,25.5329,
1997-11-02T00:00:00+1000,1997-11-02,00:00:00,8.783928E8,25.4498,
1997-11-03T00:00:00+1000,1997-11-03,00:00:00,8.784792E8,25.4127,
1997-11-04T00:00:00+1000,1997-11-04,00:00:00,8.785656E8,25.4573,
1997-11-05T00:00:00+1000,1997-11-05,00:00:00,8.78652E8,25.6817,
1997-11-06T00:00:00+1000,1997-11-06,00:00:00,8.787384E8,25.7856,
1997-11-07T00:00:00+1000,1997-11-07,00:00:00,8.788248E8,26.0129,
1997-11-08T00:00:00+1000,1997-11-08,00:00:00,8.789112E8,26.0321,
1997-11-09T00:00:00+1000,1997-11-09,00:00:00,8.789976E8,26.2535,
1997-11-10T00:00:00+1000,1997-11-10,00:00:00,8.79084E8,26.0829,
1997-11-11T00:00:00+1000,1997-11-11,00:00:00,8.791704E8,26.1429,
1997-11-12T00:00:00+1000,1997-11-12,00:00:00,8.792568E8,26.1879,
1997-11-13T00:00:00+1000,1997-11-13,00:00:00,8.793432E8,26.2331,
1997-11-14T00:00:00+1000,1997-11-14,00:00:00,8.794296E8,26.3779,
1997-11-15T00:00:00+1000,1997-11-15,00:00:00,8.79516E8,26.4383,
1997-11-16T00:00:00+1000,1997-11-16,00:00:00,8.796024E8,26.5131,
1997-11-17T00:00:00+1000,1997-11-17,00:00:00,8.796888E8,26.5183,
1997-11-18T00:00:00+1000,1997-11-18,00:00:00,8.797752E8,26.3802,
1997-11-19T00:00:00+1000,1997-11-19,00:00:00,8.798616E8,26.4198,
1997-11-20T00:00:00+1000,1997-11-20,00:00:00,8.79948E8,26.4069,
1997-11-21T00:00:00+1000,1997-11-21,00:00:00,8.800344E8,26.4135,
1997-11-22T00:00:00+1000,1997-11-22,00:00:00,8.801208E8,26.5594,
1997-11-23T00:00:00+1000,1997-11-23,00:00:00,8.802072E8,26.6375,
1997-11-24T00:00:00+1000,1997-11-24,00:00:00,8.802936E8,26.6223,
1997-11-25T00:00:00+1000,1997-11-25,00:00:00,8.8038E8,26.6085,
1997-11-26T00:00:00+1000,1997-11-26,00:00:00,8.804664E8,26.5704,
1997-11-27T00:00:00+1000,1997-11-27,00:00:00,8.805528E8,26.6029,
1997-11-28T00:00:00+1000,1997-11-28,00:00:00,8.806392E8,26.8025,
1997-11-29T00:00:00+1000,1997-11-29,00:00:00,8.807256E8,26.995,
1997-11-30T00:00:00+1000,1997-11-30,00:00:00,8.80812E8,27.0952,
1997-12-01T00:00:00+1000,1997-12-01,00:00:00,8.808984E8,27.124,
1997-12-02T00:00:00+1000,1997-12-02,00:00:00,8.809848E8,27.3742,
1997-12-03T00:00:00+1000,1997-12-03,00:00:00,8.810712E8,27.4356,
1997-12-04T00:00:00+1000,1997-12-04,00:00:00,8.811576E8,27.6154,
1997-12-05T00:00:00+1000,1997-12-05,00:00:00,8.81244E8,27.2983,
1997-12-06T00:00:00+1000,1997-12-06,00:00:00,8.813304E8,27.3125,
